title,movie_url,poster_url,rating,genre
Sonic the Hedgehog (2020),https://letterboxd.com/film/sonic-the-hedgehog/,https://a.ltrbxd.com/resized/film-poster/3/8/6/6/0/8/386608-sonic-the-hedgehog-0-1000-0-1500-crop.jpg?v=a2e34150ce,2.89,science-fiction
Bohemian Rhapsody (2018),https://letterboxd.com/film/bohemian-rhapsody/,https://a.ltrbxd.com/resized/film-poster/3/5/8/2/2/2/358222-bohemian-rhapsody-0-1000-0-1500-crop.jpg?v=e24822a0b4,3.46,drama
The Wolf of Wall Street (2013),https://letterboxd.com/film/the-wolf-of-wall-street/,https://a.ltrbxd.com/resized/film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-1000-0-1500-crop.jpg?v=9fd1891260,3.99,comedy
The Kings of Summer (2013),https://letterboxd.com/film/the-kings-of-summer/,https://a.ltrbxd.com/resized/film-poster/1/1/7/2/6/2/117262-the-kings-of-summer-0-1000-0-1500-crop.jpg?v=d01cf06c81,3.51,comedy
The Twilight Saga: Breaking Dawn – Part 2 (2012),https://letterboxd.com/film/the-twilight-saga-breaking-dawn-part-2/,https://a.ltrbxd.com/resized/film-poster/1/5/0/7/6/15076-the-twilight-saga-breaking-dawn-part-2-0-1000-0-1500-crop.jpg?v=1557beaa77,2.87,romance
EuroTrip (2004),https://letterboxd.com/film/eurotrip/,https://a.ltrbxd.com/resized/film-poster/4/7/2/4/3/47243-eurotrip-0-1000-0-1500-crop.jpg?v=80e8ffdd70,3.05,comedy
After Hours (1985),https://letterboxd.com/film/after-hours/,https://a.ltrbxd.com/resized/sm/upload/2z/7c/vx/lo/qpr5tRmvyx4rbv1gKMKbW1v5JUC-0-1000-0-1500-crop.jpg?v=3f65cdcb25,4.13,thriller
The Irishman (2019),https://letterboxd.com/film/the-irishman-2019/,https://a.ltrbxd.com/resized/film-poster/3/3/3/2/0/3/333203-the-irishman-0-1000-0-1500-crop.jpg?v=44b0138d78,3.91,history
Pacific Rim (2013),https://letterboxd.com/film/pacific-rim/,https://a.ltrbxd.com/resized/film-poster/5/2/5/0/8/52508-pacific-rim-0-1000-0-1500-crop.jpg?v=f8a975b8cc,3.41,science-fiction
Welcome to the South (2010),https://letterboxd.com/film/welcome-to-the-south/,https://a.ltrbxd.com/resized/film-poster/1/7/1/1/1/17111-welcome-to-the-south-0-1000-0-1500-crop.jpg?v=48760372bd,3.13,comedy
Serendipity (2001),https://letterboxd.com/film/serendipity/,https://a.ltrbxd.com/resized/film-poster/4/6/8/3/2/46832-serendipity-0-1000-0-1500-crop.jpg?v=abe2819460,3.26,romance
Memento (2000),https://letterboxd.com/film/memento/,https://a.ltrbxd.com/resized/sm/upload/v1/3q/s4/aa/memento-0-1000-0-1500-crop.jpg?v=80f0732247,4.17,mystery
Austin Powers: The Spy Who Shagged Me (1999),https://letterboxd.com/film/austin-powers-the-spy-who-shagged-me/,https://a.ltrbxd.com/resized/film-poster/5/1/3/3/5/51335-austin-powers-the-spy-who-shagged-me-0-1000-0-1500-crop.jpg?v=7c699bacb8,3.3,comedy
Nosferatu (2024),https://letterboxd.com/film/nosferatu-2024/,https://a.ltrbxd.com/resized/film-poster/3/5/9/5/0/5/359505-nosferatu-2024-0-1000-0-1500-crop.jpg?v=a12d4ad648,3.74,fantasy
Home Alone 3 (1997),https://letterboxd.com/film/home-alone-3/,https://a.ltrbxd.com/resized/film-poster/4/6/8/9/1/46891-home-alone-3-0-1000-0-1500-crop.jpg?v=9efdfb9054,2.12,comedy
Before I Fall (2017),https://letterboxd.com/film/before-i-fall/,https://a.ltrbxd.com/resized/film-poster/3/3/2/1/2/6/332126-before-i-fall-0-1000-0-1500-crop.jpg?v=cc0f48c685,3.07,drama
